experiment,tree_size,code_size,execution_time,compile_time
impala,0,4,9.14,0.05
impala,100,2254,22.00,0.89
impala,500,9803,26.51,4.30
impala,1000,23495,32.00,15.95
impala,1500,28301,35.02,18.18
impala,2000,42442,36.88,30.54
impala_categ,0,4,11.27,0.03
impala_categ,100,2254,17.09,0.82
impala_categ,500,9803,18.76,3.38
impala_categ,1000,23495,19.86,8.82
impala_categ,1500,28301,21.36,13.10
impala_categ,2000,42442,22.72,22.69
spark,0,4,159.51,
spark,100,2542,174.91,
spark,500,11059,178.28,
spark,1000,26509,183.98,
spark,1500,35104,187.65,
spark,2000,47350,195.99,
spark_categ,0,4,196.37,
spark_categ,100,2542,198.81,
spark_categ,500,11059,198.79,
spark_categ,1000,26509,200.44,
spark_categ,1500,35104,200.78,
spark_categ,2000,47350,201.46,
